========== Process Status Report ==========

Process 'chrome' is running.

Process Details:
    PID COMMAND         %CPU %MEM
   2729 chrome           9.1  2.9
   2745 chrome           0.0  0.3
   2746 chrome           0.0  0.4
   2748 chrome           0.0  0.1
   2791 chrome           4.4  1.5
   2793 chrome           0.6  0.8
   2804 chrome           0.0  0.3
   2847 chrome           0.0  1.1
   3052 chrome           0.0  0.9
   3757 chrome           0.7  1.0
   5729 chrome           0.7  1.3
   5740 chrome           0.0  0.7
   5760 chrome           0.1  1.1
   5769 chrome           0.0  0.7
   5807 chrome           0.0  0.5
   6308 chrome          17.6  4.1
   6685 chrome          20.2  2.8
   6710 chrome           0.1  0.9
   6722 chrome           1.0  1.0
   7763 chrome           4.1  1.4
   7794 chrome           0.0  0.6
   7858 chrome           0.0  0.4
   7975 chrome           0.1  0.5
